label_name;median_views;ratio_vues_abonnes;cadence_30j;coherence_edito;n_videos_used;pages_fetched;coherence_relative;vues_pour_1000_abonnes
Le Monde;152504.0;0.07060370370370371;9;358816.0889424998;45;10;2.3528306729167743;70.60370370370372
Le Parisien;78950.5;0.0398739898989899;91;152957.62568643992;50;4;1.937386409034014;39.873989898989905
Libération;6897.5;0.06762254901960785;7;24451.74302623059;50;5;3.5450152991997954;67.62254901960785
Les Échos;90016.0;0.2472967032967033;12;108349.87265604714;50;4;1.2036734875582913;247.2967032967033
Le Figaro;12396.5;0.013401621621621621;68;65383.549054495605;50;6;5.274355588633534;13.40162162162162
Journal L'Humanité;8710.0;0.03214022140221402;60;12181.045119683085;50;2;1.3985126429027652;32.140221402214024
Mediapart;32828.0;0.030969811320754718;19;230043.31537781472;50;2;7.007533671798913;30.96981132075472
L'Express;1026.5;0.00564010989010989;9;20021.31018250508;50;4;19.504442457384393;5.6401098901098905
LeHuffPost;37388.5;0.024597697368421052;23;44494.631034537095;50;7;1.190061945104433;24.597697368421052
Brut;51746.0;0.01930820895522388;38;125805.84712031797;50;8;2.431218782520735;19.30820895522388
Télérama;4267.0;0.04267;11;13839.060556487295;50;2;3.243276436955073;42.67
HugoDécrypte - Actus du jour;270503.0;0.07513972222222222;27;140463.5863786216;50;4;0.5192681278160376;75.13972222222222
Blast, Le souffle de l'info;124702.5;0.0789256329113924;37;155570.50320850857;50;2;1.2475331545759594;78.9256329113924
Loopsider;6411.0;0.06692066805845512;5;48766.66894722004;50;6;7.606717976481054;66.92066805845512
France Info;2120.0;0.0025298329355608593;186;15166.926653567421;50;3;7.15421068564501;2.5298329355608593
Ouest-France;3357.5;0.014226694915254237;28;54594.0452736601;50;6;16.260326217024602;14.226694915254237
BFMTV;11099.0;0.00438695652173913;184;38040.84063066634;50;3;3.427411535333484;4.386956521739131
L'Équipe;9492.5;0.004893041237113402;211;24864.090021505934;50;2;2.6193405342645177;4.893041237113402
Le Nouvel Obs;6320.0;0.01297741273100616;4;49686.56742346497;50;10;7.861798642953318;12.977412731006162
Numerama;14900.0;0.07095238095238095;9;37087.13426372426;50;7;2.489069413672769;70.95238095238095
