media_name;category;website_url;notes;label_name
Le Monde;presse_quotidienne;https://www.lemonde.fr;;Le Monde
Le Parisien;presse_quotidienne;https://www.leparisien.fr;;Le Parisien
Libération;presse_quotidienne;https://www.liberation.fr;;Libération
Les Échos;presse_quotidienne;https://www.lesechos.fr;;Les Échos
Le Figaro;presse_quotidienne;https://www.lefigaro.fr;;Le Figaro
L'Humanité;presse_quotidienne;https://www.humanite.fr;;Journal L'Humanité
Mediapart;pureplayer;https://www.mediapart.fr/;;Mediapart
L'Express;presse_hebdo;https://www.lexpress.fr/;;L'Express
LeHuffPost;pureplayer;https://www.huffingtonpost.fr/;;LeHuffPost
Brut;nouveau_format;https://www.brut.media/fr;;Brut
Télérama;presse_hebdo;https://www.telerama.fr/;culture;Télérama
HugoDécrypte;nouveau_format;https://www.youtube.com/@hugodecrypteactus;;HugoDécrypte - Actus du jour
Blast;nouveau_format;https://www.blast-info.fr/;;Blast, Le souffle de l'info
Loopsider;nouveau_format;https://www.loopsider.com/;;Loopsider
France Info;chaine_info;https://www.francetvinfo.fr;;France Info
Ouest-France;presse_quotidienne;https://www.ouest-france.fr;;Ouest-France
BFMTV;chaine_info;https://www.bfmtv.com;;BFMTV
L'Équipe;presse_quotidienne;https://www.lequipe.fr;sport;L'Équipe
Le Nouvel Obs;presse_hebdo;https://www.nouvelobs.com/;;Le Nouvel Obs
Numerama;pureplayer;https://www.numerama.com/;;Numerama
